tree,wave,weighted,mean_branch,nBranches
86,Wave 2,285.4950636152647,700.3646687025615,244
86,Wave 3,328.6775681925314,618.1288271623066,221
87,whole epidemic,259.78500208470854,493.7904950348743,566
87,Wave 1,164.21181580573887,375.0163961528494,130
87,Wave 2,272.12542510828507,547.9940158111177,251
87,Wave 3,304.8920988439331,452.87792051768713,218
88,whole epidemic,238.81517438925187,510.24007640414584,566
88,Wave 1,145.45681585079873,377.824563539534,132
88,Wave 2,243.54517023189177,534.9076703366549,250
88,Wave 3,299.9638307822723,501.7032586598879,218
89,whole epidemic,260.8787531479697,541.4070852776716,566
89,Wave 1,178.26916700428885,545.863059021243,130
89,Wave 2,262.3250760224498,506.85797466703724,245
89,Wave 3,317.9960306796572,523.6125224950943,221
90,whole epidemic,273.0105646950504,603.7703614034812,566
90,Wave 1,190.72906324460394,662.568083789356,130
90,Wave 2,281.8512518150115,566.3652893475252,239
90,Wave 3,316.25693040068796,552.043757373513,224
91,whole epidemic,260.3216614107417,533.5693497502035,566
91,Wave 1,170.5757499812509,492.92318136698833,132
91,Wave 2,264.98236185765836,556.1015195053391,248
91,Wave 3,318.7101471639989,479.5722477462675,219
92,whole epidemic,274.2218884804241,584.5648178126975,566
92,Wave 1,186.0516292121049,554.283603650057,130
92,Wave 2,278.5753646959007,555.4309987421684,241
92,Wave 3,331.69605413767084,575.843465471602,223
93,whole epidemic,261.18103033120286,522.6120128351769,566
93,Wave 1,172.5186154482651,395.685583826162,132
